Long,Lat,Tipo_roca
-103.3648016,20.703527,Basalto
-103.3748023,20.70018002,Basalto
-103.3746532,20.69976308,Basalto
-103.3745988,20.69945544,Basalto
-103.3741172,20.69961349,Basalto
-103.3742372,20.70005725,Basalto
-103.3826069,20.71287293,Ignimbrita
-103.3825609,20.7126828,Ignimbrita
-103.3824956,20.71250152,Ignimbrita
-103.3780375,20.71461851,Basalto
-103.3724913,20.69633715,Basalto
-103.3723113,20.69611865,Basalto
-103.3722068,20.69600926,Basalto
-103.3721886,20.69591876,Basalto
-103.3702882,20.70307315,Basalto
-103.3701049,20.70315272,Basalto
-103.3777134,20.70267354,Basalto
-103.3779546,20.70255838,Basalto
-103.3703335,20.70961362,Ignimbrita
-103.3703698,20.70980366,Ignimbrita
-103.3794486,20.70199432,Basalto
-103.3795653,20.70185992,Basalto
-103.3793737,20.70182198,Basalto
-103.3793738,20.70181295,Basalto
-103.3807545,20.70829373,Ignimbrita
-103.3802519,20.71403414,Ignimbrita
-103.3817118,20.69770674,Basalto
-103.3817118,20.69770674,Basalto
-103.3816556,20.69757072,Basalto
-103.3781645,20.7017835,Basalto
-103.3779825,20.70174565,Basalto
-103.3781945,20.70166635,Basalto
-103.3847973,20.69732921,Basalto
-103.3880493,20.70935585,Ignimbrita
-103.3878973,20.70920989,Ignimbrita
-103.3722611,20.69542262,Basalto
-103.3727137,20.69529139,Basalto
-103.362674,20.7040849,Basalto
-103.3627814,20.70391429,Basalto
-103.3665843,20.70738302,Ignimbrita
-103.3667577,20.70733047,Ignimbrita
-103.3665578,20.707175,Ignimbrita
-103.3667211,20.70716752,Ignimbrita
-103.3773593,20.70347416,Basalto
-103.377347,20.70372697,Basalto
-103.3809031,20.70787057,Basalto
-103.3689869,20.70356669,Basalto
-103.3688448,20.70338468,Basalto
-103.3687857,20.70352865,Basalto
-103.3782136,20.70798979,Basalto
-103.3681144,20.69807527,Basalto
-103.3756137,20.70061224,Basalto
-103.3755677,20.7004221,Basalto
-103.3731161,20.69716507,Basalto
-103.3728847,20.69725322,Basalto
-103.3731821,20.69727409,Basalto
-103.3729506,20.6973803,Basalto
-103.3668193,20.70248023,Basalto
-103.366923,20.70265284,Basalto
-103.3754464,20.70009576,Basalto
-103.375602,20.69990753,Basalto
-103.3757853,20.69982796,Basalto
-103.3760801,20.70008367,Basalto
-103.3706283,20.69999605,Basalto
-103.3706124,20.69968877,Basalto
-103.3709193,20.69970974,Basalto
-103.3708093,20.70012422,Basalto
