Long,Lat,UCS
-103.364802,20.703527,644.63
-103.374802,20.70018,733.91
-103.374653,20.699763,1113.66
-103.374599,20.699455,932.40
-103.374117,20.699613,692.04
-103.374237,20.700057,268.03
-103.378037,20.714619,148.32
-103.372491,20.696337,990.54
-103.372311,20.696119,919.67
-103.372207,20.696009,932.58
-103.372189,20.695919,561.48
-103.370288,20.703073,1081.08
-103.370105,20.703153,594.50
-103.370431,20.703219,1112.98
-103.381712,20.697707,737.94
-103.381646,20.697571,422.71
-103.381656,20.697571,321.46
-103.377713,20.702674,870.56
-103.377955,20.702558,739.46
-103.370333,20.709614,504.56
-103.37037,20.709804,405.27
-103.379449,20.701994,467.97
-103.379565,20.70186,901.00
-103.379374,20.701822,415.03
-103.379374,20.701813,374.04
-103.380755,20.708294,680.48
-103.380252,20.714034,400.60
-103.373116,20.697165,1062.23
-103.372885,20.697253,924.82
-103.373182,20.697274,571.61
-103.372951,20.69738,596.92
-103.378164,20.701783,721.98
-103.377982,20.701746,849.01
-103.378195,20.701666,557.94
-103.384797,20.697329,619.14
-103.388049,20.709356,286.37
-103.387897,20.70921,280.87
-103.372261,20.695423,727.27
-103.372714,20.695291,1020.21
-103.362674,20.704085,804.53
-103.362781,20.703914,482.60
-103.366584,20.707383,722.72
-103.366758,20.70733,968.86
-103.366558,20.707175,718.02
-103.366721,20.707168,675.02
-103.377359,20.703474,658.48
-103.377347,20.703727,653.02
-103.380903,20.707871,696.63
-103.382607,20.712873,940.13
-103.382561,20.712683,927.94
-103.382496,20.712502,360.18
-103.368987,20.703567,477.41
-103.368845,20.703385,302.29
-103.368786,20.703529,624.91
-103.370628,20.699996,702.40
-103.370612,20.699689,360.10
-103.370919,20.69971,414.12
-103.370809,20.700124,921.70
-103.378214,20.70799,664.80
-103.368114,20.698075,266.20
-103.375614,20.700612,844.03
-103.375568,20.700422,901.02
-103.366819,20.70248,574.38
-103.366923,20.702653,524.48
-103.375446,20.700096,273.19
-103.375602,20.699908,634.56
-103.375785,20.699828,888.36
-103.37608,20.700084,885.86
