Long,Lat,RQD
-103.364802,20.703527,54
-103.374802,20.70018,70
-103.374653,20.699763,50
-103.374599,20.699455,70
-103.374117,20.699613,43
-103.374237,20.700057,88
-103.372491,20.696337,55
-103.372311,20.696119,48
-103.372207,20.696009,56
-103.372189,20.695919,70
-103.370288,20.703073,100
-103.370105,20.703153,73
-103.370431,20.703219,87
-103.381712,20.697707,90
-103.381646,20.697571,93
-103.381656,20.697571,67
-103.377713,20.702674,60
-103.377955,20.702558,41
-103.370333,20.709614,56
-103.37037,20.709804,46
-103.379449,20.701994,84
-103.379565,20.70186,100
-103.379374,20.701822,99
-103.379374,20.701813,62
-103.380755,20.708294,94
-103.380252,20.714034,37
-103.373116,20.697165,87
-103.372885,20.697253,96
-103.373182,20.697274,97
-103.372951,20.69738,94
-103.378164,20.701783,32
-103.377982,20.701746,100
-103.378195,20.701666,61
-103.384797,20.697329,81
-103.388049,20.709356,52
-103.387897,20.70921,79
-103.372261,20.695423,59
-103.372714,20.695291,60
-103.362674,20.704085,56
-103.362781,20.703914,55
-103.366584,20.707383,41
-103.366758,20.70733,88
-103.366558,20.707175,54
-103.366721,20.707168,55
-103.377359,20.703474,44
-103.377347,20.703727,45
-103.380903,20.707871,63
-103.382607,20.712873,99
-103.382561,20.712683,96
-103.382496,20.712502,95
-103.368987,20.703567,52
-103.368845,20.703385,60
-103.368786,20.703529,74
-103.370919,20.69971,30
-103.370809,20.700124,34
-103.378214,20.70799,61
-103.368114,20.698075,58
-103.375614,20.700612,42
-103.375568,20.700422,50
-103.366819,20.70248,38
-103.366923,20.702653,45
-103.375446,20.700096,100
-103.375602,20.699908,90
-103.375785,20.699828,96
-103.37608,20.700084,91
