Long,Lat,Prof_agua
-103.3746813,20.69982658,12
-103.3740679,20.69973046,12
-103.374774,20.70013459,12
-103.3825493,20.71287239,9.4
-103.3825617,20.71260151,8.43
-103.382667,20.7126296,9.36
-103.372501,20.6963282,11
-103.3721981,20.69592788,11
-103.3721969,20.6960453,11.35
-103.3702692,20.7030549,7.64
-103.3699937,20.7027813,7.61
-103.3779546,20.70255838,6.25
-103.3777134,20.70267354,6.9
-103.379431,20.70184962,4.2
-103.3811402,20.7081438,15.87
-103.380954,20.70849434,14.32
-103.3815383,20.69776835,11.05
-103.3817216,20.69768878,4.91
-103.3815691,20.69757894,10.23
-103.3783276,20.70179407,5.72
-103.3780585,20.70181863,6.02
-103.3780984,20.70167448,5.35
-103.3847973,20.69732921,13.43
-103.3879149,20.70935459,7.43
-103.372194,20.69541295,19
-103.3727239,20.69523729,19
-103.3627153,20.7038143,14.37
-103.3626842,20.7040308,13.07
-103.3627717,20.70392323,13.9
-103.366489,20.70731888,9.8
-103.3668449,20.70725903,10
-103.3772724,20.70351851,5.3
-103.3774146,20.70369148,5.02
-103.3773478,20.70364568,4.91
-103.3804971,20.70812871,14.23
-103.3808668,20.7076715,14.16
-103.3681145,20.69806624,10.18
-103.3679971,20.69827289,10.5
-103.3680478,20.69802044,11
-103.3668094,20.70250723,14.4
-103.3670302,20.70250933,14.4
-103.3754464,20.70009576,4.46
-103.3757853,20.69982796,4.12
